GroupID,Segment,Person.1,Person.2,LSM,WC.Person.1,WC.Person.2,ppron.Person.1,ppron.Person.2,ipron.Person.1,ipron.Person.2,article.Person.1,article.Person.2,prep.Person.1,prep.Person.2,negate.Person.1,negate.Person.2,adverb.Person.1,adverb.Person.2,auxverb.Person.1,auxverb.Person.2,conj.Person.1,conj.Person.2
gpt-4o_prompt2_ethical109_2,1,human,agent,0.68,18,225,5.56,5.78,5.56,4.44,5.56,6.22,5.56,12.89,5.56,1.78,5.56,4,16.67,8.44,0,7.11
gpt-4o_prompt2_ethical109_3,1,human,agent,0.70,18,228,5.56,7.89,5.56,7.02,11.11,3.95,16.67,12.72,5.56,0.44,11.11,4.82,11.11,10.09,5.56,7.89
gpt-4o_prompt2_ethical109_4,1,human,agent,0.58,20,224,0,4.91,10,4.02,10,8.04,5,12.5,5,0.45,5,3.57,15,10.71,5,8.48
gpt-4o_prompt2_ethical109_5,1,human,agent,0.37,16,218,0,2.29,12.5,5.96,12.5,8.26,12.5,11.93,0,0.92,0,2.75,25,9.17,0,7.34
gpt-4o_prompt3_ethical109_1,1,human,agent,0.44,21,224,19.05,3.13,9.52,3.57,0,6.7,9.52,14.29,0,1.34,4.76,1.79,19.05,7.59,4.76,7.59
gpt-4o_prompt3_ethical109_2,1,human,agent,0.62,18,223,5.56,5.38,5.56,4.93,5.56,6.73,5.56,14.35,5.56,0.45,5.56,4.04,16.67,6.73,0,8.52
gpt-4o_prompt3_ethical109_3,1,human,agent,0.74,18,205,5.56,2.93,5.56,5.37,11.11,4.88,16.67,11.22,5.56,2.44,11.11,3.41,11.11,8.78,5.56,7.8
gpt-4o_prompt3_ethical109_4,1,human,agent,0.54,20,210,0,0.95,10,3.33,10,6.19,5,12.86,5,0.95,5,1.9,15,9.05,5,6.19
gpt-4o_prompt3_ethical109_5,1,human,agent,0.34,16,197,0,1.02,12.5,4.06,12.5,7.61,12.5,13.2,0,1.02,0,1.02,25,8.12,0,4.57
gpt-4o_prompt4_ethical109_1,1,human,agent,0.56,21,231,19.05,6.49,9.52,6.49,0,4.76,9.52,13.42,0,1.73,4.76,4.33,19.05,8.66,4.76,8.23
gpt-4o_prompt4_ethical109_2,1,human,agent,0.65,18,226,5.56,9.29,5.56,4.42,5.56,4.87,5.56,13.27,5.56,1.33,5.56,5.75,16.67,8.85,0,8.85
gpt-4o_prompt4_ethical109_3,1,human,agent,0.81,18,235,5.56,7.23,5.56,6.38,11.11,6.38,16.67,14.89,5.56,2.13,11.11,6.81,11.11,8.09,5.56,7.66
gpt-4o_prompt4_ethical109_4,1,human,agent,0.63,20,230,0,6.09,10,4.78,10,5.65,5,12.17,5,2.17,5,4.78,15,9.57,5,9.13
gpt-4o_prompt4_ethical109_5,1,human,agent,0.34,16,230,0,5.22,12.5,5.65,12.5,6.52,12.5,14.78,0,1.3,0,2.61,25,9.13,0,6.09
gpt-4o_prompt0_ethical11_1,1,human,agent,0.80,33,211,12.12,2.37,3.03,2.37,3.03,3.32,9.09,13.74,0,0,6.06,5.69,18.18,7.11,9.09,8.06
gpt-4o_prompt0_ethical11_2,1,human,agent,0.44,19,203,10.53,1.97,5.26,2.46,5.26,2.96,10.53,12.32,5.26,0,0,1.48,10.53,9.36,0,6.4
gpt-4o_prompt0_ethical11_3,1,human,agent,0.29,14,198,0,1.52,7.14,1.52,0,4.04,14.29,13.64,7.14,0,0,3.03,7.14,7.07,0,6.06
gpt-4o_prompt0_ethical11_4,1,human,agent,0.50,16,203,0,1.48,6.25,1.97,6.25,3.45,12.5,12.32,6.25,0,0,1.48,6.25,6.9,6.25,7.88
gpt-4o_prompt0_ethical11_5,1,human,agent,0.26,16,206,0,0.49,18.75,4.37,0,5.83,6.25,12.62,0,0.49,6.25,2.91,25,6.31,0,8.74
gpt-4o_prompt1_ethical11_1,1,human,agent,0.80,33,217,12.12,1.84,3.03,1.84,3.03,3.23,9.09,13.36,0,0,6.06,5.99,18.18,8.29,9.09,8.29
gpt-4o_prompt1_ethical11_2,1,human,agent,0.41,19,206,10.53,0.97,5.26,1.94,5.26,3.88,10.53,12.62,5.26,0,0,1.94,10.53,7.77,0,6.31
gpt-4o_prompt1_ethical11_3,1,human,agent,0.28,14,207,0,0.48,7.14,1.45,0,4.35,14.29,11.59,7.14,0,0,3.86,7.14,7.25,0,7.25
gpt-4o_prompt1_ethical11_4,1,human,agent,0.51,16,210,0,0.95,6.25,2.38,6.25,2.86,12.5,12.38,6.25,0,0,1.9,6.25,6.67,6.25,7.62
gpt-4o_prompt1_ethical11_5,1,human,agent,0.45,16,196,0,0,18.75,4.08,0,5.1,6.25,13.27,0,0,6.25,1.53,25,3.06,0,8.16
gpt-4o_prompt2_ethical11_1,1,human,agent,0.86,33,223,12.12,5.83,3.03,4.04,3.03,4.04,9.09,11.21,0,0,6.06,5.83,18.18,11.21,9.09,7.62
gpt-4o_prompt2_ethical11_2,1,human,agent,0.54,19,217,10.53,8.29,5.26,4.15,5.26,3.23,10.53,9.22,5.26,0,0,7.83,10.53,13.36,0,7.83
gpt-4o_prompt2_ethical11_3,1,human,agent,0.32,14,219,0,6.39,7.14,4.57,0,1.83,14.29,11.42,7.14,0.46,0,6.85,7.14,11.42,0,8.68
gpt-4o_prompt2_ethical11_4,1,human,agent,0.52,16,220,0,7.73,6.25,5.45,6.25,3.64,12.5,10.91,6.25,0,0,6.82,6.25,10.91,6.25,8.18
gpt-4o_prompt2_ethical11_5,1,human,agent,0.37,16,213,0,0,18.75,4.23,0,3.76,6.25,13.62,0,0.47,6.25,1.88,25,8.45,0,7.98
gpt-4o_prompt3_ethical11_1,1,human,agent,0.82,33,208,12.12,3.85,3.03,2.4,3.03,2.88,9.09,12.98,0,0,6.06,4.81,18.18,7.21,9.09,8.65
gpt-4o_prompt3_ethical11_2,1,human,agent,0.52,19,209,10.53,5.74,5.26,3.83,5.26,3.83,10.53,13.4,5.26,0,0,2.87,10.53,8.13,0,7.18
gpt-4o_prompt3_ethical11_3,1,human,agent,0.31,14,205,0,6.83,7.14,2.44,0,2.93,14.29,13.66,7.14,0.49,0,3.9,7.14,8.78,0,6.83
gpt-4o_prompt3_ethical11_4,1,human,agent,0.47,18,205,16.67,6.34,11.11,2.93,5.56,2.44,16.67,12.68,5.56,0,11.11,2.44,11.11,9.76,0,7.32
gpt-4o_prompt3_ethical11_5,1,human,agent,0.49,16,196,0,0,18.75,5.1,0,3.57,6.25,11.73,0,0,6.25,1.02,25,9.18,0,7.65
gpt-4o_prompt4_ethical11_1,1,human,agent,0.84,33,222,12.12,6.31,3.03,4.95,3.03,2.7,9.09,13.51,0,0,6.06,4.95,18.18,9.01,9.09,8.11
gpt-4o_prompt4_ethical11_2,1,human,agent,0.55,19,218,10.53,4.13,5.26,5.5,5.26,7.34,10.53,16.97,5.26,0.92,0,3.67,10.53,10.55,0,6.42
gpt-4o_prompt4_ethical11_3,1,human,agent,0.37,14,224,0,4.46,7.14,5.8,0,3.57,14.29,13.84,7.14,0.45,0,5.8,7.14,7.59,0,8.04
gpt-4o_prompt4_ethical11_4,1,human,agent,0.56,16,225,0,6.22,6.25,4.44,6.25,5.78,12.5,13.33,6.25,0,0,4.89,6.25,8,6.25,8.44
gpt-4o_prompt4_ethical11_5,1,human,agent,0.19,16,215,0,0.93,18.75,3.26,0,6.05,6.25,16.28,0,1.4,6.25,0.47,25,8.84,0,7.44
gpt-4o_prompt0_ethical110_1,1,human,agent,0.70,21,232,14.29,9.48,9.52,3.88,4.76,5.6,14.29,11.21,0,0,14.29,6.03,14.29,9.48,0,9.91
gpt-4o_prompt0_ethical110_2,1,human,agent,0.50,23,236,4.35,9.32,8.7,5.08,17.39,2.97,4.35,10.59,4.35,0,4.35,5.08,17.39,11.86,0,8.05
gpt-4o_prompt0_ethical110_3,1,human,agent,0.60,20,223,15,4.48,10,6.73,5,4.48,15,6.28,5,0.9,10,5.38,10,10.31,0,7.17
gpt-4o_prompt0_ethical110_4,1,human,agent,0.52,15,224,6.67,7.59,6.67,4.46,0,2.68,6.67,7.59,6.67,0.45,6.67,3.13,20,10.71,0,6.7
gpt-4o_prompt0_ethical110_5,1,human,agent,0.46,21,219,0,3.2,19.05,5.48,4.76,3.2,9.52,10.5,0,0.46,9.52,6.39,19.05,10.05,0,8.68
gpt-4o_prompt1_ethical110_1,1,human,agent,0.57,21,224,14.29,7.14,9.52,5.8,4.76,4.02,14.29,12.95,0,0.89,14.29,4.46,14.29,9.38,0,8.93
gpt-4o_prompt1_ethical110_2,1,human,agent,0.51,23,217,4.35,5.53,8.7,3.69,17.39,4.15,4.35,10.14,4.35,0,4.35,4.15,17.39,8.76,0,5.53
gpt-4o_prompt1_ethical110_3,1,human,agent,0.52,20,213,15,6.1,10,4.23,5,3.76,15,10.33,5,0,10,2.82,10,7.98,0,5.63
gpt-4o_prompt1_ethical110_4,1,human,agent,0.43,15,212,6.67,8.02,6.67,3.3,0,2.83,6.67,11.32,6.67,0,6.67,3.3,20,5.66,0,5.66
gpt-4o_prompt1_ethical110_5,1,human,agent,0.56,21,214,0,4.67,19.05,5.61,4.76,4.21,9.52,11.68,0,0,9.52,4.67,19.05,6.54,0,7.01
gpt-4o_prompt2_ethical110_1,1,human,agent,0.59,21,231,14.29,10.39,9.52,6.49,4.76,3.46,14.29,10.39,0,0.87,14.29,6.49,14.29,9.09,0,8.23
gpt-4o_prompt2_ethical110_2,1,human,agent,0.54,23,224,4.35,8.48,8.7,5.8,17.39,5.8,4.35,9.82,4.35,0.45,4.35,7.14,17.39,10.71,0,8.48
gpt-4o_prompt2_ethical110_3,1,human,agent,0.64,20,235,15,7.66,10,6.38,5,4.26,15,11.49,5,0.43,10,8.09,10,13.19,0,7.66
gpt-4o_prompt2_ethical110_4,1,human,agent,0.49,15,220,6.67,10,6.67,4.09,0,4.55,6.67,11.36,6.67,0,6.67,6.82,20,8.64,0,5.91
gpt-4o_prompt2_ethical110_5,1,human,agent,0.60,21,217,0,7.83,19.05,5.07,4.76,5.07,9.52,11.52,0,0,9.52,5.99,19.05,10.14,0,5.53
gpt-4o_prompt3_ethical110_1,1,human,agent,0.53,21,226,14.29,4.42,9.52,5.75,4.76,7.52,14.29,14.16,0,0.44,14.29,4.87,14.29,8.41,0,9.29
gpt-4o_prompt3_ethical110_2,1,human,agent,0.59,23,232,4.35,5.17,8.7,6.47,17.39,6.9,4.35,13.36,4.35,0.86,4.35,5.17,17.39,8.62,0,5.6
gpt-4o_prompt3_ethical110_3,1,human,agent,0.58,20,235,15,3.83,10,6.81,5,6.81,15,14.89,5,0.43,10,5.11,10,6.38,0,6.81
gpt-4o_prompt3_ethical110_4,1,human,agent,0.45,15,233,6.67,3.86,6.67,6.01,0,6.87,6.67,14.59,6.67,0.43,6.67,3.43,20,6.01,0,7.3
gpt-4o_prompt3_ethical110_5,1,human,agent,0.42,21,231,0,4.76,19.05,6.49,4.76,5.19,9.52,12.99,0,0.43,9.52,3.03,19.05,6.93,0,8.23
gpt-4o_prompt4_ethical110_1,1,human,agent,0.69,21,228,14.29,7.02,9.52,5.7,4.76,3.51,14.29,15.79,0,0,14.29,5.26,14.29,8.77,0,7.89
gpt-4o_prompt4_ethical110_2,1,human,agent,0.60,23,227,4.35,5.73,8.7,7.93,17.39,3.52,4.35,10.13,4.35,0.88,4.35,4.41,17.39,9.25,0,7.49
gpt-4o_prompt4_ethical110_3,1,human,agent,0.62,20,231,15,4.33,10,8.23,5,5.19,15,12.55,5,0.43,10,5.63,10,7.79,0,6.49
gpt-4o_prompt4_ethical110_4,1,human,agent,0.47,15,224,6.67,6.25,6.67,5.36,0,4.91,6.67,11.61,6.67,0,6.67,3.57,20,6.25,0,8.48
gpt-4o_prompt4_ethical110_5,1,human,agent,0.47,21,215,0,2.33,19.05,7.44,4.76,5.58,9.52,10.23,0,0.93,9.52,4.65,19.05,9.3,0,8.84
gpt-4o_prompt0_ethical111_1,1,human,agent,0.48,25,211,16,5.21,4,6.16,0,2.84,8,12.32,0,0.47,12,4.74,16,6.64,4,8.53
gpt-4o_prompt0_ethical111_2,1,human,agent,0.53,21,206,19.05,6.8,4.76,6.8,0,3.88,9.52,9.22,4.76,0.49,14.29,2.43,19.05,7.77,4.76,6.31
gpt-4o_prompt0_ethical111_3,1,human,agent,0.57,16,204,0,3.92,6.25,3.43,6.25,4.41,6.25,10.29,0,0,6.25,2.94,18.75,8.33,0,8.33
gpt-4o_prompt0_ethical111_4,1,human,agent,0.55,19,204,0,2.94,10.53,6.37,5.26,3.43,5.26,11.27,10.53,1.47,5.26,2.45,15.79,5.88,5.26,8.33
gpt-4o_prompt0_ethical111_5,1,human,agent,0.34,21,199,4.76,0,9.52,7.04,0,5.53,14.29,9.55,0,1.51,14.29,1.51,14.29,10.55,0,8.04
gpt-4o_prompt1_ethical111_1,1,human,agent,0.50,25,203,16,6.9,4,5.91,0,3.45,8,10.34,0,0.49,12,4.43,16,5.91,4,8.37
gpt-4o_prompt1_ethical111_2,1,human,agent,0.53,21,213,19.05,4.69,4.76,6.57,0,4.69,9.52,12.21,4.76,0.94,14.29,3.29,19.05,6.57,4.76,5.63
gpt-4o_prompt1_ethical111_3,1,human,agent,0.54,16,203,0,0.49,6.25,4.43,6.25,4.93,6.25,11.82,0,0,6.25,1.97,18.75,5.42,0,7.88
gpt-4o_prompt1_ethical111_4,1,human,agent,0.52,19,204,0,1.47,10.53,2.94,5.26,3.43,5.26,12.25,10.53,0.49,5.26,4.9,15.79,4.9,5.26,8.33
gpt-4o_prompt1_ethical111_5,1,human,agent,0.34,21,204,4.76,0.49,9.52,6.37,0,5.39,14.29,9.8,0,1.47,14.29,1.47,14.29,7.84,0,7.35
gpt-4o_prompt2_ethical111_1,1,human,agent,0.62,25,215,16,8.84,4,5.58,0,3.26,8,13.95,0,0,12,5.58,16,5.58,4,10.23
gpt-4o_prompt2_ethical111_2,1,human,agent,0.57,21,222,19.05,12.61,4.76,7.66,0,2.25,9.52,11.26,4.76,0.45,14.29,6.31,19.05,9.01,4.76,9.91
gpt-4o_prompt2_ethical111_3,1,human,agent,0.49,16,221,0,4.52,6.25,7.69,6.25,5.43,6.25,9.95,0,0.45,6.25,4.07,18.75,7.24,0,9.5
gpt-4o_prompt2_ethical111_4,1,human,agent,0.34,16,219,12.5,3.65,12.5,5.02,0,5.48,18.75,13.24,6.25,0.91,0,5.02,18.75,7.76,0,8.22
gpt-4o_prompt2_ethical111_5,1,human,agent,0.55,21,218,4.76,1.83,9.52,8.26,0,7.34,14.29,14.22,0,0,14.29,1.83,14.29,6.88,0,7.8
gpt-4o_prompt3_ethical111_1,1,human,agent,0.45,25,196,16,5.1,4,5.61,0,4.08,8,10.71,0,0.51,12,4.08,16,3.57,4,10.71
gpt-4o_prompt3_ethical111_2,1,human,agent,0.50,21,211,19.05,8.53,4.76,5.21,0,3.32,9.52,11.85,4.76,0.47,14.29,2.37,19.05,4.74,4.76,9.95
gpt-4o_prompt3_ethical111_3,1,human,agent,0.56,16,201,0,2.99,6.25,3.98,6.25,5.47,6.25,11.94,0,0,6.25,1.99,18.75,7.46,0,6.97
gpt-4o_prompt3_ethical111_4,1,human,agent,0.49,19,206,0,1.94,10.53,3.88,5.26,6.31,5.26,12.62,10.53,0.97,5.26,2.43,15.79,2.91,5.26,8.74
gpt-4o_prompt3_ethical111_5,1,human,agent,0.34,21,199,4.76,0.5,9.52,7.04,0,6.03,14.29,13.07,0,0.5,14.29,1.01,14.29,6.03,0,5.03
gpt-4o_prompt4_ethical111_1,1,human,agent,0.49,25,216,16,8.33,4,8.33,0,3.24,8,15.28,0,0.46,12,6.02,16,6.94,4,9.26
gpt-4o_prompt4_ethical111_2,1,human,agent,0.58,21,226,19.05,10.62,4.76,7.96,0,3.98,9.52,11.5,4.76,1.33,14.29,4.87,19.05,7.52,4.76,8.41
gpt-4o_prompt4_ethical111_3,1,human,agent,0.60,16,214,0,2.8,6.25,6.07,6.25,5.61,6.25,12.62,0,0,6.25,3.74,18.75,5.14,0,8.41
gpt-4o_prompt4_ethical111_4,1,human,agent,0.57,19,218,0,1.83,10.53,5.05,5.26,5.05,5.26,14.22,10.53,0.92,5.26,3.67,15.79,6.88,5.26,7.34
gpt-4o_prompt4_ethical111_5,1,human,agent,0.41,21,213,4.76,2.82,9.52,5.16,0,7.04,14.29,13.15,0,1.88,14.29,3.29,14.29,5.16,0,7.98
gpt-4o_prompt0_ethical112_1,1,human,agent,0.54,28,193,17.86,4.15,7.14,4.15,3.57,3.11,3.57,10.36,3.57,0.52,10.71,2.59,17.86,7.77,3.57,9.33
gpt-4o_prompt0_ethical112_2,1,human,agent,0.55,21,207,9.52,3.86,9.52,4.35,4.76,6.76,4.76,12.56,4.76,1.45,4.76,3.38,23.81,7.73,0,6.28
gpt-4o_prompt0_ethical112_3,1,human,agent,0.48,15,196,6.67,3.06,6.67,4.08,6.67,2.04,0,8.67,13.33,1.02,13.33,2.04,13.33,8.67,6.67,10.71
gpt-4o_prompt0_ethical112_4,1,human,agent,0.56,17,206,0,0.97,11.76,5.34,5.88,3.88,5.88,11.65,5.88,1.94,0,4.85,5.88,7.28,5.88,5.83
gpt-4o_prompt0_ethical112_5,1,human,agent,0.34,17,206,0,0,17.65,2.91,0,2.91,5.88,11.65,0,1.46,11.76,1.46,23.53,8.25,0,7.28
gpt-4o_prompt1_ethical112_1,1,human,agent,0.57,28,203,17.86,6.9,7.14,4.93,3.57,2.96,3.57,11.33,3.57,0.49,10.71,2.96,17.86,6.9,3.57,8.37
gpt-4o_prompt1_ethical112_2,1,human,agent,0.56,21,208,9.52,2.88,9.52,4.81,4.76,4.81,4.76,12.5,4.76,1.44,4.76,2.88,23.81,9.62,0,6.25
gpt-4o_prompt1_ethical112_3,1,human,agent,0.51,15,200,6.67,4.5,6.67,4,6.67,3.5,0,10.5,13.33,1,13.33,2.5,13.33,5,6.67,10
gpt-4o_prompt1_ethical112_4,1,human,agent,0.49,17,207,0,0.97,11.76,2.9,5.88,2.42,5.88,10.63,5.88,2.42,0,1.45,5.88,10.14,5.88,6.76
gpt-4o_prompt1_ethical112_5,1,human,agent,0.36,17,207,0,0,17.65,4.83,0,5.31,5.88,13.53,0,2.9,11.76,2.42,23.53,8.21,0,5.31
gpt-4o_prompt2_ethical112_1,1,human,agent,0.62,28,231,17.86,8.66,7.14,6.49,3.57,3.46,3.57,12.55,3.57,0.43,10.71,4.33,17.86,6.49,3.57,9.09
gpt-4o_prompt2_ethical112_2,1,human,agent,0.61,21,216,9.52,6.02,9.52,4.63,4.76,4.17,4.76,14.35,4.76,1.85,4.76,4.17,23.81,8.33,0,8.33
gpt-4o_prompt2_ethical112_3,1,human,agent,0.59,15,214,6.67,6.07,6.67,4.67,6.67,5.14,0,8.88,13.33,0.93,13.33,3.74,13.33,7.94,6.67,10.75
gpt-4o_prompt2_ethical112_4,1,human,agent,0.47,17,215,0,2.33,11.76,2.33,5.88,4.65,5.88,11.63,5.88,0.93,0,5.58,5.88,8.37,5.88,9.3
gpt-4o_prompt2_ethical112_5,1,human,agent,0.24,17,220,0,1.82,17.65,4.09,0,7.27,5.88,11.36,0,0.91,11.76,2.73,23.53,7.27,0,8.18
gpt-4o_prompt3_ethical112_1,1,human,agent,0.59,28,215,17.86,6.51,7.14,4.65,3.57,3.72,3.57,13.95,3.57,0.93,10.71,4.65,17.86,5.12,3.57,8.84
gpt-4o_prompt3_ethical112_2,1,human,agent,0.50,21,222,9.52,1.8,9.52,5.41,4.76,4.95,4.76,13.06,4.76,1.35,4.76,2.25,23.81,5.41,0,11.26
gpt-4o_prompt3_ethical112_3,1,human,agent,0.51,15,220,6.67,2.73,6.67,3.18,6.67,5.91,0,15,13.33,0.91,13.33,2.27,13.33,7.27,6.67,10.45
gpt-4o_prompt3_ethical112_4,1,human,agent,0.48,17,227,0,0.88,11.76,4.41,5.88,3.96,5.88,15.42,5.88,0.88,0,2.64,5.88,7.49,5.88,8.81
gpt-4o_prompt3_ethical112_5,1,human,agent,0.23,17,223,0,0.45,17.65,4.48,0,4.04,5.88,11.66,0,0.9,11.76,1.79,23.53,7.62,0,8.97
gpt-4o_prompt4_ethical112_1,1,human,agent,0.65,28,216,17.86,6.48,7.14,6.02,3.57,3.7,3.57,14.81,3.57,1.39,10.71,5.09,17.86,7.87,3.57,8.33
gpt-4o_prompt4_ethical112_2,1,human,agent,0.57,21,220,9.52,5,9.52,4.55,4.76,5.45,4.76,15.45,4.76,1.82,4.76,2.73,23.81,9.09,0,8.18
gpt-4o_prompt4_ethical112_3,1,human,agent,0.59,15,223,6.67,5.38,6.67,6.28,6.67,5.38,0,13,13.33,1.35,13.33,2.69,13.33,8.07,6.67,11.66
gpt-4o_prompt4_ethical112_4,1,human,agent,0.49,17,222,0,3.15,11.76,4.95,5.88,3.6,5.88,13.96,5.88,0.9,0,3.6,5.88,6.76,5.88,9.01
gpt-4o_prompt4_ethical112_5,1,human,agent,0.21,17,223,0,2.69,17.65,5.38,0,4.93,5.88,13.9,0,0.9,11.76,1.35,23.53,6.28,0,8.97
gpt-4o_prompt0_ethical113_1,1,human,agent,0.57,26,204,15.38,3.43,0,2.45,7.69,4.9,3.85,9.31,0,0,3.85,3.43,11.54,9.31,0,6.86
gpt-4o_prompt0_ethical113_2,1,human,agent,0.49,17,206,11.76,6.31,11.76,2.91,0,4.37,5.88,8.74,5.88,0,5.88,3.4,17.65,6.8,5.88,10.19
gpt-4o_prompt0_ethical113_3,1,human,agent,0.27,12,205,0,2.93,8.33,4.39,0,2.93,16.67,9.27,8.33,0,8.33,0.98,16.67,5.85,0,7.32
gpt-4o_prompt0_ethical113_4,1,human,agent,0.44,15,211,0,5.69,6.67,2.84,6.67,6.64,0,9.48,6.67,0,13.33,2.84,13.33,7.11,6.67,8.53
gpt-4o_prompt0_ethical113_5,1,human,agent,0.22,19,206,0,3.4,26.32,2.91,10.53,2.43,0,9.71,0,0.49,0,3.88,26.32,7.28,5.26,9.22
gpt-4o_prompt1_ethical113_1,1,human,agent,0.56,26,217,15.38,5.53,0,3.69,7.69,4.61,3.85,11.06,0,0,3.85,2.76,11.54,8.29,0,7.37
gpt-4o_prompt1_ethical113_2,1,human,agent,0.54,17,213,11.76,7.98,11.76,3.29,0,4.69,5.88,7.98,5.88,0,5.88,2.82,17.65,7.51,5.88,6.57
gpt-4o_prompt1_ethical113_3,1,human,agent,0.33,12,223,0,6.73,8.33,4.48,0,4.48,16.67,9.87,8.33,0.45,8.33,3.14,16.67,6.73,0,8.97
gpt-4o_prompt1_ethical113_4,1,human,agent,0.37,15,207,0,3.86,6.67,3.38,6.67,4.83,0,10.63,6.67,0,13.33,0.97,13.33,4.83,6.67,9.66
gpt-4o_prompt1_ethical113_5,1,human,agent,0.24,19,203,0,5.42,26.32,2.96,10.53,3.94,0,8.87,0,0.49,0,1.48,26.32,5.91,5.26,8.37
gpt-4o_prompt2_ethical113_1,1,human,agent,0.45,26,221,15.38,7.24,0,3.17,7.69,4.07,3.85,9.5,0,0.45,3.85,3.17,11.54,8.14,0,8.14
gpt-4o_prompt2_ethical113_2,1,human,agent,0.64,17,224,11.76,8.93,11.76,6.7,0,2.68,5.88,8.48,5.88,0.45,5.88,5.36,17.65,10.71,5.88,8.04
gpt-4o_prompt2_ethical113_3,1,human,agent,0.36,12,228,0,6.58,8.33,5.7,0,4.82,16.67,14.04,8.33,0.44,8.33,2.63,16.67,7.02,0,9.21
gpt-4o_prompt2_ethical113_4,1,human,agent,0.48,15,225,0,7.56,6.67,4.89,6.67,6.22,0,11.11,6.67,0,13.33,3.11,13.33,7.56,6.67,8
gpt-4o_prompt2_ethical113_5,1,human,agent,0.43,19,227,0,7.05,26.32,5.73,10.53,9.25,0,11.89,0,0,0,1.32,26.32,6.17,5.26,8.81
gpt-4o_prompt3_ethical113_1,1,human,agent,0.53,26,200,15.38,2,0,3.5,7.69,6,3.85,7.5,0,0,3.85,2,11.54,7.5,0,7.5
gpt-4o_prompt3_ethical113_2,1,human,agent,0.45,17,205,11.76,3.41,11.76,2.93,0,6.83,5.88,9.76,5.88,0.49,5.88,2.44,17.65,4.88,5.88,7.8
gpt-4o_prompt3_ethical113_3,1,human,agent,0.40,12,198,0,0,8.33,2.02,0,5.05,16.67,10.1,8.33,0,8.33,3.03,16.67,5.56,0,9.6
gpt-4o_prompt3_ethical113_4,1,human,agent,0.34,15,202,0,0.99,6.67,1.49,6.67,6.93,0,12.38,6.67,0,13.33,0.99,13.33,3.96,6.67,10.4
gpt-4o_prompt3_ethical113_5,1,human,agent,0.41,19,206,0,0.97,26.32,6.31,10.53,4.85,0,12.62,0,0,0,2.91,26.32,6.31,5.26,6.8
gpt-4o_prompt4_ethical113_1,1,human,agent,0.46,26,215,15.38,7.91,0,4.19,7.69,5.12,3.85,9.77,0,0.47,3.85,6.05,11.54,9.3,0,8.84
gpt-4o_prompt4_ethical113_2,1,human,agent,0.56,17,226,11.76,9.29,11.76,5.31,0,4.87,5.88,11.06,5.88,0.44,5.88,5.31,17.65,4.87,5.88,10.18
gpt-4o_prompt4_ethical113_3,1,human,agent,0.34,12,227,0,6.17,8.33,5.73,0,4.85,16.67,10.13,8.33,0.88,8.33,3.08,16.67,4.85,0,10.13
gpt-4o_prompt4_ethical113_4,1,human,agent,0.46,15,224,0,4.46,6.67,4.91,6.67,4.91,0,10.27,6.67,0.89,13.33,3.57,13.33,5.8,6.67,11.16
gpt-4o_prompt4_ethical113_5,1,human,agent,0.26,19,226,0,8.41,26.32,6.19,10.53,3.98,0,11.06,0,0.88,0,3.1,26.32,7.08,5.26,9.29
gpt-4o_prompt0_ethical114_1,1,human,agent,0.63,29,211,10.34,0.95,6.9,5.21,13.79,4.27,10.34,10.9,0,0.47,6.9,3.79,13.79,9.95,6.9,6.64
gpt-4o_prompt0_ethical114_2,1,human,agent,0.47,20,218,10,2.75,15,5.5,10,2.75,5,12.84,5,1.38,5,3.21,20,8.26,0,7.34
gpt-4o_prompt0_ethical114_3,1,human,agent,0.33,16,215,12.5,2.33,12.5,6.51,0,3.26,18.75,12.56,6.25,0.47,0,2.79,18.75,9.77,0,7.91
gpt-4o_prompt0_ethical114_4,1,human,agent,0.53,21,217,4.76,2.3,14.29,6.45,4.76,2.3,9.52,10.14,4.76,0.92,0,3.69,9.52,9.68,0,6.91
gpt-4o_prompt0_ethical114_5,1,human,agent,0.53,17,209,0,0.48,11.76,5.26,5.88,2.39,5.88,13.88,0,0.96,5.88,4.31,17.65,9.09,5.88,7.18
gpt-4o_prompt1_ethical114_1,1,human,agent,0.82,29,211,10.34,4.74,6.9,7.11,13.79,3.79,10.34,9.95,0,0,6.9,4.27,13.79,9.95,6.9,8.06
gpt-4o_prompt1_ethical114_2,1,human,agent,0.50,20,214,10,2.8,15,5.14,10,5.14,5,13.08,5,0.93,5,6.07,20,9.35,0,8.41
gpt-4o_prompt1_ethical114_3,1,human,agent,0.35,16,212,12.5,1.89,12.5,7.55,0,3.3,18.75,12.74,6.25,0.94,0,3.77,18.75,11.32,0,8.49
gpt-4o_prompt1_ethical114_4,1,human,agent,0.51,21,213,4.76,1.41,14.29,6.1,4.76,2.35,9.52,12.21,4.76,1.88,0,3.76,9.52,10.33,0,7.04
gpt-4o_prompt1_ethical114_5,1,human,agent,0.57,17,212,0,0.47,11.76,6.13,5.88,3.77,5.88,10.85,0,1.42,5.88,3.77,17.65,9.43,5.88,7.55
gpt-4o_prompt2_ethical114_1,1,human,agent,0.85,29,220,10.34,7.73,6.9,5.91,13.79,4.09,10.34,10.45,0,0,6.9,5.45,13.79,9.55,6.9,9.09
gpt-4o_prompt2_ethical114_2,1,human,agent,0.51,20,217,10,5.99,15,4.61,10,4.61,5,14.29,5,0.92,5,3.23,20,8.29,0,7.83
