GroupID,Segment,Person.1,Person.2,LSM,WC.Person.1,WC.Person.2
deepseek-r1_prompt3_debate4_2,1,human,agent,0.34,20,333
deepseek-r1_prompt3_debate4_3,1,human,agent,0.34,20,348
deepseek-r1_prompt3_debate4_4,1,human,agent,0.42,20,327
deepseek-r1_prompt3_debate4_5,1,human,agent,0.29,20,341
deepseek-r1_prompt4_debate4_1,1,human,agent,0.53,18,218
deepseek-r1_prompt4_debate4_2,1,human,agent,0.51,20,297
deepseek-r1_prompt4_debate4_3,1,human,agent,0.43,20,299
deepseek-r1_prompt4_debate4_4,1,human,agent,0.47,20,291
deepseek-r1_prompt4_debate4_5,1,human,agent,0.47,20,294
deepseek-r1_prompt0_debate40_1,1,human,agent,0.34,14,277
deepseek-r1_prompt0_debate40_2,1,human,agent,0.42,20,280
deepseek-r1_prompt0_debate40_3,1,human,agent,0.42,20,308
deepseek-r1_prompt0_debate40_4,1,human,agent,0.46,20,293
deepseek-r1_prompt0_debate40_5,1,human,agent,0.37,20,306
deepseek-r1_prompt1_debate40_1,1,human,agent,0.33,14,324
deepseek-r1_prompt1_debate40_2,1,human,agent,0.45,20,268
deepseek-r1_prompt1_debate40_3,1,human,agent,0.47,20,318
deepseek-r1_prompt1_debate40_4,1,human,agent,0.44,20,298
deepseek-r1_prompt1_debate40_5,1,human,agent,0.45,20,301
deepseek-r1_prompt2_debate40_1,1,human,agent,0.43,14,267
deepseek-r1_prompt2_debate40_2,1,human,agent,0.49,20,282
deepseek-r1_prompt2_debate40_3,1,human,agent,0.50,20,320
deepseek-r1_prompt2_debate40_4,1,human,agent,0.50,20,318
deepseek-r1_prompt2_debate40_5,1,human,agent,0.46,20,298
deepseek-r1_prompt3_debate40_1,1,human,agent,0.37,14,295
deepseek-r1_prompt3_debate40_2,1,human,agent,0.44,20,285
deepseek-r1_prompt3_debate40_3,1,human,agent,0.43,20,292
deepseek-r1_prompt3_debate40_4,1,human,agent,0.43,20,284
deepseek-r1_prompt3_debate40_5,1,human,agent,0.39,20,285
deepseek-r1_prompt4_debate40_1,1,human,agent,0.38,14,132
deepseek-r1_prompt4_debate40_2,1,human,agent,0.45,20,268
deepseek-r1_prompt4_debate40_3,1,human,agent,0.49,20,330
deepseek-r1_prompt4_debate40_4,1,human,agent,0.47,20,317
deepseek-r1_prompt4_debate40_5,1,human,agent,0.51,20,339
deepseek-r1_prompt0_debate41_1,1,human,agent,0.31,15,310
deepseek-r1_prompt0_debate41_2,1,human,agent,0.39,20,285
deepseek-r1_prompt0_debate41_3,1,human,agent,0.44,20,311
deepseek-r1_prompt0_debate41_4,1,human,agent,0.46,20,293
deepseek-r1_prompt0_debate41_5,1,human,agent,0.44,20,346
deepseek-r1_prompt1_debate41_1,1,human,agent,0.34,15,252
deepseek-r1_prompt1_debate41_2,1,human,agent,0.48,20,335
deepseek-r1_prompt1_debate41_3,1,human,agent,0.38,20,351
deepseek-r1_prompt1_debate41_4,1,human,agent,0.41,20,341
deepseek-r1_prompt1_debate41_5,1,human,agent,0.45,20,316
deepseek-r1_prompt2_debate41_1,1,human,agent,0.40,15,164
deepseek-r1_prompt2_debate41_2,1,human,agent,0.46,20,285
deepseek-r1_prompt2_debate41_3,1,human,agent,0.53,20,292
deepseek-r1_prompt2_debate41_4,1,human,agent,0.50,20,347
deepseek-r1_prompt2_debate41_5,1,human,agent,0.52,20,325
deepseek-r1_prompt3_debate41_1,1,human,agent,0.36,15,312
deepseek-r1_prompt3_debate41_2,1,human,agent,0.47,20,273
deepseek-r1_prompt3_debate41_3,1,human,agent,0.43,20,323
deepseek-r1_prompt3_debate41_4,1,human,agent,0.45,20,293
deepseek-r1_prompt3_debate41_5,1,human,agent,0.49,20,325
deepseek-r1_prompt4_debate41_1,1,human,agent,0.41,15,220
deepseek-r1_prompt4_debate41_2,1,human,agent,0.48,20,243
deepseek-r1_prompt4_debate41_3,1,human,agent,0.55,20,284
deepseek-r1_prompt4_debate41_4,1,human,agent,0.55,20,284
deepseek-r1_prompt4_debate41_5,1,human,agent,0.51,20,322
deepseek-r1_prompt0_debate42_1,1,human,agent,0.25,11,343
deepseek-r1_prompt0_debate42_2,1,human,agent,0.42,20,309
deepseek-r1_prompt0_debate42_3,1,human,agent,0.47,20,319
deepseek-r1_prompt0_debate42_4,1,human,agent,0.42,20,310
deepseek-r1_prompt0_debate42_5,1,human,agent,0.44,20,329
deepseek-r1_prompt1_debate42_1,1,human,agent,0.24,11,284
deepseek-r1_prompt1_debate42_2,1,human,agent,0.40,20,305
deepseek-r1_prompt1_debate42_3,1,human,agent,0.40,20,341
deepseek-r1_prompt1_debate42_4,1,human,agent,0.48,20,358
deepseek-r1_prompt1_debate42_5,1,human,agent,0.49,20,359
deepseek-r1_prompt2_debate42_1,1,human,agent,0.23,11,99
deepseek-r1_prompt2_debate42_2,1,human,agent,0.46,20,292
deepseek-r1_prompt2_debate42_3,1,human,agent,0.51,20,290
deepseek-r1_prompt2_debate42_4,1,human,agent,0.44,20,358
deepseek-r1_prompt2_debate42_5,1,human,agent,0.47,20,336
deepseek-r1_prompt3_debate42_1,1,human,agent,0.37,11,295
deepseek-r1_prompt3_debate42_2,1,human,agent,0.42,20,296
deepseek-r1_prompt3_debate42_3,1,human,agent,0.47,20,323
deepseek-r1_prompt3_debate42_4,1,human,agent,0.48,20,325
deepseek-r1_prompt3_debate42_5,1,human,agent,0.45,20,331
deepseek-r1_prompt4_debate42_1,1,human,agent,0.28,11,191
deepseek-r1_prompt4_debate42_2,1,human,agent,0.52,20,278
deepseek-r1_prompt4_debate42_3,1,human,agent,0.48,20,296
deepseek-r1_prompt4_debate42_4,1,human,agent,0.48,20,323
deepseek-r1_prompt4_debate42_5,1,human,agent,0.56,20,298
deepseek-r1_prompt0_debate43_1,1,human,agent,0.22,12,298
deepseek-r1_prompt0_debate43_2,1,human,agent,0.36,20,332
deepseek-r1_prompt0_debate43_3,1,human,agent,0.41,20,283
deepseek-r1_prompt0_debate43_4,1,human,agent,0.48,20,285
deepseek-r1_prompt0_debate43_5,1,human,agent,0.42,20,279
deepseek-r1_prompt1_debate43_1,1,human,agent,0.37,12,285
deepseek-r1_prompt1_debate43_2,1,human,agent,0.32,20,304
deepseek-r1_prompt1_debate43_3,1,human,agent,0.44,20,310
deepseek-r1_prompt1_debate43_4,1,human,agent,0.37,20,303
deepseek-r1_prompt1_debate43_5,1,human,agent,0.39,20,309
deepseek-r1_prompt2_debate43_1,1,human,agent,0.40,12,169
deepseek-r1_prompt2_debate43_2,1,human,agent,0.43,20,287
deepseek-r1_prompt2_debate43_3,1,human,agent,0.47,20,318
deepseek-r1_prompt2_debate43_4,1,human,agent,0.48,20,297
deepseek-r1_prompt2_debate43_5,1,human,agent,0.46,20,346
deepseek-r1_prompt3_debate43_1,1,human,agent,0.34,12,269
deepseek-r1_prompt3_debate43_2,1,human,agent,0.34,20,305
deepseek-r1_prompt3_debate43_3,1,human,agent,0.47,20,303
deepseek-r1_prompt3_debate43_4,1,human,agent,0.44,20,307
deepseek-r1_prompt3_debate43_5,1,human,agent,0.42,20,284
deepseek-r1_prompt4_debate43_1,1,human,agent,0.38,12,208
deepseek-r1_prompt4_debate43_2,1,human,agent,0.35,20,296
deepseek-r1_prompt4_debate43_3,1,human,agent,0.40,20,294
deepseek-r1_prompt4_debate43_4,1,human,agent,0.43,20,287
deepseek-r1_prompt4_debate43_5,1,human,agent,0.37,20,325
deepseek-r1_prompt0_debate44_1,1,human,agent,0.28,17,317
deepseek-r1_prompt0_debate44_2,1,human,agent,0.33,20,282
deepseek-r1_prompt0_debate44_3,1,human,agent,0.41,20,296
deepseek-r1_prompt0_debate44_4,1,human,agent,0.44,20,284
deepseek-r1_prompt0_debate44_5,1,human,agent,0.51,20,310
deepseek-r1_prompt1_debate44_1,1,human,agent,0.29,17,240
deepseek-r1_prompt1_debate44_2,1,human,agent,0.38,20,293
deepseek-r1_prompt1_debate44_3,1,human,agent,0.37,20,299
deepseek-r1_prompt1_debate44_4,1,human,agent,0.40,20,307
deepseek-r1_prompt1_debate44_5,1,human,agent,0.49,20,291
deepseek-r1_prompt2_debate44_1,1,human,agent,0.26,17,165
deepseek-r1_prompt2_debate44_2,1,human,agent,0.38,20,289
deepseek-r1_prompt2_debate44_3,1,human,agent,0.42,20,321
deepseek-r1_prompt2_debate44_4,1,human,agent,0.49,20,309
deepseek-r1_prompt2_debate44_5,1,human,agent,0.49,20,298
deepseek-r1_prompt3_debate44_1,1,human,agent,0.29,17,291
deepseek-r1_prompt3_debate44_2,1,human,agent,0.31,20,277
deepseek-r1_prompt3_debate44_3,1,human,agent,0.31,20,304
deepseek-r1_prompt3_debate44_4,1,human,agent,0.36,20,317
deepseek-r1_prompt3_debate44_5,1,human,agent,0.36,20,304
deepseek-r1_prompt4_debate44_1,1,human,agent,0.30,17,188
deepseek-r1_prompt4_debate44_2,1,human,agent,0.48,20,354
deepseek-r1_prompt4_debate44_3,1,human,agent,0.43,20,286
deepseek-r1_prompt4_debate44_4,1,human,agent,0.47,20,310
deepseek-r1_prompt4_debate44_5,1,human,agent,0.50,20,321
deepseek-r1_prompt0_debate45_1,1,human,agent,0.48,17,291
deepseek-r1_prompt0_debate45_2,1,human,agent,0.39,20,315
deepseek-r1_prompt0_debate45_3,1,human,agent,0.37,20,305
deepseek-r1_prompt0_debate45_4,1,human,agent,0.39,20,343
deepseek-r1_prompt0_debate45_5,1,human,agent,0.39,20,323
deepseek-r1_prompt1_debate45_1,1,human,agent,0.50,17,322
deepseek-r1_prompt1_debate45_2,1,human,agent,0.45,20,322
deepseek-r1_prompt1_debate45_3,1,human,agent,0.47,20,331
deepseek-r1_prompt1_debate45_4,1,human,agent,0.42,20,342
deepseek-r1_prompt1_debate45_5,1,human,agent,0.48,20,319
deepseek-r1_prompt2_debate45_1,1,human,agent,0.45,17,179
deepseek-r1_prompt2_debate45_2,1,human,agent,0.44,20,284
deepseek-r1_prompt2_debate45_3,1,human,agent,0.45,20,329
deepseek-r1_prompt2_debate45_4,1,human,agent,0.40,20,340
deepseek-r1_prompt2_debate45_5,1,human,agent,0.41,20,350
deepseek-r1_prompt3_debate45_1,1,human,agent,0.43,17,329
deepseek-r1_prompt3_debate45_2,1,human,agent,0.43,20,329
deepseek-r1_prompt3_debate45_3,1,human,agent,0.37,20,340
deepseek-r1_prompt3_debate45_4,1,human,agent,0.37,20,333
deepseek-r1_prompt3_debate45_5,1,human,agent,0.48,20,298
deepseek-r1_prompt4_debate45_1,1,human,agent,0.38,17,136
deepseek-r1_prompt4_debate45_2,1,human,agent,0.46,20,294
deepseek-r1_prompt4_debate45_3,1,human,agent,0.45,20,276
deepseek-r1_prompt4_debate45_4,1,human,agent,0.48,20,319
deepseek-r1_prompt4_debate45_5,1,human,agent,0.43,20,341
deepseek-r1_prompt0_debate46_1,1,human,agent,0.24,17,339
deepseek-r1_prompt0_debate46_2,1,human,agent,0.42,20,290
deepseek-r1_prompt0_debate46_3,1,human,agent,0.44,20,306
deepseek-r1_prompt0_debate46_4,1,human,agent,0.46,20,318
deepseek-r1_prompt0_debate46_5,1,human,agent,0.50,20,289
deepseek-r1_prompt1_debate46_1,1,human,agent,0.24,17,350
deepseek-r1_prompt1_debate46_2,1,human,agent,0.42,20,308
deepseek-r1_prompt1_debate46_3,1,human,agent,0.50,20,297
deepseek-r1_prompt1_debate46_4,1,human,agent,0.49,20,318
deepseek-r1_prompt1_debate46_5,1,human,agent,0.48,20,330
deepseek-r1_prompt2_debate46_1,1,human,agent,0.26,17,130
deepseek-r1_prompt2_debate46_2,1,human,agent,0.54,20,262
deepseek-r1_prompt2_debate46_3,1,human,agent,0.47,20,271
deepseek-r1_prompt2_debate46_4,1,human,agent,0.51,20,285
deepseek-r1_prompt2_debate46_5,1,human,agent,0.50,20,303
deepseek-r1_prompt3_debate46_1,1,human,agent,0.27,17,278
deepseek-r1_prompt3_debate46_2,1,human,agent,0.43,20,308
deepseek-r1_prompt3_debate46_3,1,human,agent,0.46,20,319
deepseek-r1_prompt3_debate46_4,1,human,agent,0.51,20,331
deepseek-r1_prompt3_debate46_5,1,human,agent,0.42,20,306
deepseek-r1_prompt4_debate46_1,1,human,agent,0.26,17,126
deepseek-r1_prompt4_debate46_2,1,human,agent,0.46,20,299
deepseek-r1_prompt4_debate46_3,1,human,agent,0.51,20,322
deepseek-r1_prompt4_debate46_4,1,human,agent,0.50,20,309
deepseek-r1_prompt4_debate46_5,1,human,agent,0.51,20,356
deepseek-r1_prompt0_debate47_1,1,human,agent,0.52,12,313
deepseek-r1_prompt0_debate47_2,1,human,agent,0.43,20,287
deepseek-r1_prompt0_debate47_3,1,human,agent,0.38,20,323
deepseek-r1_prompt0_debate47_4,1,human,agent,0.46,20,309
deepseek-r1_prompt0_debate47_5,1,human,agent,0.43,20,332
deepseek-r1_prompt1_debate47_1,1,human,agent,0.36,12,240
deepseek-r1_prompt1_debate47_2,1,human,agent,0.43,20,288
deepseek-r1_prompt1_debate47_3,1,human,agent,0.48,20,332
deepseek-r1_prompt1_debate47_4,1,human,agent,0.48,20,305
deepseek-r1_prompt1_debate47_5,1,human,agent,0.50,20,342
deepseek-r1_prompt2_debate47_1,1,human,agent,0.29,12,157
deepseek-r1_prompt2_debate47_2,1,human,agent,0.45,20,279
deepseek-r1_prompt2_debate47_3,1,human,agent,0.49,20,316
deepseek-r1_prompt2_debate47_4,1,human,agent,0.53,20,365
deepseek-r1_prompt2_debate47_5,1,human,agent,0.47,20,371
deepseek-r1_prompt3_debate47_1,1,human,agent,0.38,12,239
deepseek-r1_prompt3_debate47_2,1,human,agent,0.51,20,314
deepseek-r1_prompt3_debate47_3,1,human,agent,0.44,20,329
deepseek-r1_prompt3_debate47_4,1,human,agent,0.52,20,354
deepseek-r1_prompt3_debate47_5,1,human,agent,0.47,20,350
deepseek-r1_prompt4_debate47_1,1,human,agent,0.26,12,146
deepseek-r1_prompt4_debate47_2,1,human,agent,0.51,20,275
deepseek-r1_prompt4_debate47_3,1,human,agent,0.48,20,310
deepseek-r1_prompt4_debate47_4,1,human,agent,0.52,20,304
deepseek-r1_prompt4_debate47_5,1,human,agent,0.49,20,303
deepseek-r1_prompt0_debate48_1,1,human,agent,0.42,14,313
deepseek-r1_prompt0_debate48_2,1,human,agent,0.38,20,335
deepseek-r1_prompt0_debate48_3,1,human,agent,0.41,20,284
deepseek-r1_prompt0_debate48_4,1,human,agent,0.41,20,278
deepseek-r1_prompt0_debate48_5,1,human,agent,0.37,20,283
deepseek-r1_prompt1_debate48_1,1,human,agent,0.52,14,271
deepseek-r1_prompt1_debate48_2,1,human,agent,0.39,20,298
deepseek-r1_prompt1_debate48_3,1,human,agent,0.37,20,311
deepseek-r1_prompt1_debate48_4,1,human,agent,0.40,20,308
deepseek-r1_prompt1_debate48_5,1,human,agent,0.39,20,320
deepseek-r1_prompt2_debate48_1,1,human,agent,0.41,14,165
deepseek-r1_prompt2_debate48_2,1,human,agent,0.42,20,323
deepseek-r1_prompt2_debate48_3,1,human,agent,0.49,20,324
deepseek-r1_prompt2_debate48_4,1,human,agent,0.43,20,301
deepseek-r1_prompt2_debate48_5,1,human,agent,0.44,20,333
deepseek-r1_prompt3_debate48_1,1,human,agent,0.54,14,349
deepseek-r1_prompt3_debate48_2,1,human,agent,0.44,20,285
deepseek-r1_prompt3_debate48_3,1,human,agent,0.39,20,331
deepseek-r1_prompt3_debate48_4,1,human,agent,0.47,20,325
deepseek-r1_prompt3_debate48_5,1,human,agent,0.47,20,325
deepseek-r1_prompt4_debate48_1,1,human,agent,0.45,14,186
deepseek-r1_prompt4_debate48_2,1,human,agent,0.51,20,298
deepseek-r1_prompt4_debate48_3,1,human,agent,0.49,20,320
deepseek-r1_prompt4_debate48_4,1,human,agent,0.48,20,321
deepseek-r1_prompt4_debate48_5,1,human,agent,0.41,20,326
deepseek-r1_prompt0_debate49_1,1,human,agent,0.30,15,321
deepseek-r1_prompt0_debate49_2,1,human,agent,0.45,20,288
deepseek-r1_prompt0_debate49_3,1,human,agent,0.44,20,335
deepseek-r1_prompt0_debate49_4,1,human,agent,0.43,20,306
deepseek-r1_prompt0_debate49_5,1,human,agent,0.43,20,356
deepseek-r1_prompt1_debate49_1,1,human,agent,0.28,15,358
deepseek-r1_prompt1_debate49_2,1,human,agent,0.48,20,302
deepseek-r1_prompt1_debate49_3,1,human,agent,0.47,20,313
deepseek-r1_prompt1_debate49_4,1,human,agent,0.43,20,292
deepseek-r1_prompt1_debate49_5,1,human,agent,0.45,20,309
deepseek-r1_prompt2_debate49_1,1,human,agent,0.35,15,128
deepseek-r1_prompt2_debate49_2,1,human,agent,0.45,20,307
deepseek-r1_prompt2_debate49_3,1,human,agent,0.46,20,297
deepseek-r1_prompt2_debate49_4,1,human,agent,0.43,20,320
deepseek-r1_prompt2_debate49_5,1,human,agent,0.53,20,279
deepseek-r1_prompt3_debate49_1,1,human,agent,0.26,15,335
deepseek-r1_prompt3_debate49_2,1,human,agent,0.45,20,281
deepseek-r1_prompt3_debate49_3,1,human,agent,0.45,20,339
deepseek-r1_prompt3_debate49_4,1,human,agent,0.38,20,326
deepseek-r1_prompt3_debate49_5,1,human,agent,0.41,20,339
deepseek-r1_prompt4_debate49_1,1,human,agent,0.38,15,130
deepseek-r1_prompt4_debate49_2,1,human,agent,0.46,20,294
deepseek-r1_prompt4_debate49_3,1,human,agent,0.46,20,329
deepseek-r1_prompt4_debate49_4,1,human,agent,0.47,20,339
deepseek-r1_prompt4_debate49_5,1,human,agent,0.39,20,325
deepseek-r1_prompt0_debate5_1,1,human,agent,0.61,14,302
deepseek-r1_prompt0_debate5_2,1,human,agent,0.41,20,297
deepseek-r1_prompt0_debate5_3,1,human,agent,0.41,20,339
deepseek-r1_prompt0_debate5_4,1,human,agent,0.42,20,317
deepseek-r1_prompt0_debate5_5,1,human,agent,0.39,20,308
deepseek-r1_prompt1_debate5_1,1,human,agent,0.30,14,286
deepseek-r1_prompt1_debate5_2,1,human,agent,0.29,20,293
deepseek-r1_prompt1_debate5_3,1,human,agent,0.38,20,307
deepseek-r1_prompt1_debate5_4,1,human,agent,0.43,20,322
deepseek-r1_prompt1_debate5_5,1,human,agent,0.31,20,264
deepseek-r1_prompt2_debate5_1,1,human,agent,0.38,14,126
deepseek-r1_prompt2_debate5_2,1,human,agent,0.45,20,312
deepseek-r1_prompt2_debate5_3,1,human,agent,0.37,20,300
deepseek-r1_prompt2_debate5_4,1,human,agent,0.44,20,322
deepseek-r1_prompt2_debate5_5,1,human,agent,0.42,20,263
deepseek-r1_prompt3_debate5_1,1,human,agent,0.36,14,311
deepseek-r1_prompt3_debate5_2,1,human,agent,0.42,20,307
deepseek-r1_prompt3_debate5_3,1,human,agent,0.35,20,307
deepseek-r1_prompt3_debate5_4,1,human,agent,0.35,20,312
deepseek-r1_prompt3_debate5_5,1,human,agent,0.33,20,298
deepseek-r1_prompt4_debate5_1,1,human,agent,0.39,14,211
deepseek-r1_prompt4_debate5_2,1,human,agent,0.43,20,299
deepseek-r1_prompt4_debate5_3,1,human,agent,0.41,20,290
deepseek-r1_prompt4_debate5_4,1,human,agent,0.35,20,302
deepseek-r1_prompt4_debate5_5,1,human,agent,0.39,20,304
deepseek-r1_prompt0_debate50_1,1,human,agent,0.33,15,266
deepseek-r1_prompt0_debate50_2,1,human,agent,0.34,20,300
deepseek-r1_prompt0_debate50_3,1,human,agent,0.32,20,277
deepseek-r1_prompt0_debate50_4,1,human,agent,0.37,20,308
deepseek-r1_prompt0_debate50_5,1,human,agent,0.39,20,319
deepseek-r1_prompt1_debate50_1,1,human,agent,0.34,15,341
deepseek-r1_prompt1_debate50_2,1,human,agent,0.31,20,288
deepseek-r1_prompt1_debate50_3,1,human,agent,0.38,20,287
deepseek-r1_prompt1_debate50_4,1,human,agent,0.33,20,332
deepseek-r1_prompt1_debate50_5,1,human,agent,0.37,20,317
deepseek-r1_prompt2_debate50_1,1,human,agent,0.37,15,177
deepseek-r1_prompt2_debate50_2,1,human,agent,0.44,20,276
deepseek-r1_prompt2_debate50_3,1,human,agent,0.51,20,307
deepseek-r1_prompt2_debate50_4,1,human,agent,0.46,20,318
deepseek-r1_prompt2_debate50_5,1,human,agent,0.54,20,310
deepseek-r1_prompt3_debate50_1,1,human,agent,0.45,15,335
deepseek-r1_prompt3_debate50_2,1,human,agent,0.34,20,288
deepseek-r1_prompt3_debate50_3,1,human,agent,0.31,20,305
deepseek-r1_prompt3_debate50_4,1,human,agent,0.39,20,312
deepseek-r1_prompt3_debate50_5,1,human,agent,0.34,20,308
deepseek-r1_prompt4_debate50_1,1,human,agent,0.37,15,257
deepseek-r1_prompt4_debate50_2,1,human,agent,0.54,20,259
deepseek-r1_prompt4_debate50_3,1,human,agent,0.43,20,314
deepseek-r1_prompt4_debate50_4,1,human,agent,0.49,20,288
deepseek-r1_prompt4_debate50_5,1,human,agent,0.47,20,299
deepseek-r1_prompt0_debate51_1,1,human,agent,0.37,14,346
deepseek-r1_prompt0_debate51_2,1,human,agent,0.39,20,295
deepseek-r1_prompt0_debate51_3,1,human,agent,0.36,20,274
deepseek-r1_prompt0_debate51_4,1,human,agent,0.44,20,306
deepseek-r1_prompt0_debate51_5,1,human,agent,0.34,20,282
deepseek-r1_prompt1_debate51_1,1,human,agent,0.63,14,320
deepseek-r1_prompt1_debate51_2,1,human,agent,0.35,20,310
deepseek-r1_prompt1_debate51_3,1,human,agent,0.42,20,296
deepseek-r1_prompt1_debate51_4,1,human,agent,0.43,20,293
deepseek-r1_prompt1_debate51_5,1,human,agent,0.41,20,282
deepseek-r1_prompt2_debate51_1,1,human,agent,0.40,14,265
deepseek-r1_prompt2_debate51_2,1,human,agent,0.43,20,281
deepseek-r1_prompt2_debate51_3,1,human,agent,0.49,20,279
deepseek-r1_prompt2_debate51_4,1,human,agent,0.44,20,324
deepseek-r1_prompt2_debate51_5,1,human,agent,0.51,20,346
deepseek-r1_prompt3_debate51_1,1,human,agent,0.49,14,322
deepseek-r1_prompt3_debate51_2,1,human,agent,0.44,20,286
deepseek-r1_prompt3_debate51_3,1,human,agent,0.37,20,285
deepseek-r1_prompt3_debate51_4,1,human,agent,0.47,20,324
deepseek-r1_prompt3_debate51_5,1,human,agent,0.40,20,291
deepseek-r1_prompt4_debate51_1,1,human,agent,0.36,14,198
deepseek-r1_prompt4_debate51_2,1,human,agent,0.38,20,273
deepseek-r1_prompt4_debate51_3,1,human,agent,0.32,20,271
deepseek-r1_prompt4_debate51_4,1,human,agent,0.49,20,297
deepseek-r1_prompt4_debate51_5,1,human,agent,0.44,20,284
deepseek-r1_prompt0_debate52_1,1,human,agent,0.21,14,338
deepseek-r1_prompt0_debate52_2,1,human,agent,0.43,20,331
deepseek-r1_prompt0_debate52_3,1,human,agent,0.38,20,342
deepseek-r1_prompt0_debate52_4,1,human,agent,0.41,20,306
deepseek-r1_prompt0_debate52_5,1,human,agent,0.44,20,335
deepseek-r1_prompt1_debate52_1,1,human,agent,0.20,14,337
deepseek-r1_prompt1_debate52_2,1,human,agent,0.40,20,317
deepseek-r1_prompt1_debate52_3,1,human,agent,0.39,20,320
deepseek-r1_prompt1_debate52_4,1,human,agent,0.40,20,348
deepseek-r1_prompt1_debate52_5,1,human,agent,0.38,20,338
deepseek-r1_prompt2_debate52_1,1,human,agent,0.37,14,112
deepseek-r1_prompt2_debate52_2,1,human,agent,0.55,20,281
deepseek-r1_prompt2_debate52_3,1,human,agent,0.48,20,302
deepseek-r1_prompt2_debate52_4,1,human,agent,0.47,20,270
deepseek-r1_prompt2_debate52_5,1,human,agent,0.45,20,277
deepseek-r1_prompt3_debate52_1,1,human,agent,0.21,14,282
deepseek-r1_prompt3_debate52_2,1,human,agent,0.35,20,319
deepseek-r1_prompt3_debate52_3,1,human,agent,0.43,20,340
deepseek-r1_prompt3_debate52_4,1,human,agent,0.44,20,295
deepseek-r1_prompt3_debate52_5,1,human,agent,0.44,20,322
deepseek-r1_prompt4_debate52_1,1,human,agent,0.25,14,234
deepseek-r1_prompt4_debate52_2,1,human,agent,0.53,20,274
deepseek-r1_prompt4_debate52_3,1,human,agent,0.49,20,269
deepseek-r1_prompt4_debate52_4,1,human,agent,0.52,20,309
deepseek-r1_prompt4_debate52_5,1,human,agent,0.45,20,288
deepseek-r1_prompt0_debate53_1,1,human,agent,0.34,20,307
deepseek-r1_prompt0_debate53_2,1,human,agent,0.45,20,296
deepseek-r1_prompt0_debate53_3,1,human,agent,0.51,20,340
deepseek-r1_prompt0_debate53_4,1,human,agent,0.52,20,329
deepseek-r1_prompt0_debate53_5,1,human,agent,0.46,20,332
deepseek-r1_prompt1_debate53_1,1,human,agent,0.35,20,313
deepseek-r1_prompt1_debate53_2,1,human,agent,0.50,20,292
deepseek-r1_prompt1_debate53_3,1,human,agent,0.53,20,318
deepseek-r1_prompt1_debate53_4,1,human,agent,0.53,20,292
deepseek-r1_prompt1_debate53_5,1,human,agent,0.46,20,305
deepseek-r1_prompt2_debate53_1,1,human,agent,0.41,20,206
deepseek-r1_prompt2_debate53_2,1,human,agent,0.58,20,282
deepseek-r1_prompt2_debate53_3,1,human,agent,0.53,20,276
deepseek-r1_prompt2_debate53_4,1,human,agent,0.55,20,304
deepseek-r1_prompt2_debate53_5,1,human,agent,0.59,20,260
deepseek-r1_prompt3_debate53_1,1,human,agent,0.28,20,323
deepseek-r1_prompt3_debate53_2,1,human,agent,0.45,20,303
deepseek-r1_prompt3_debate53_3,1,human,agent,0.49,20,317
deepseek-r1_prompt3_debate53_4,1,human,agent,0.53,20,296
deepseek-r1_prompt3_debate53_5,1,human,agent,0.52,20,313
deepseek-r1_prompt4_debate53_1,1,human,agent,0.36,20,128
deepseek-r1_prompt4_debate53_2,1,human,agent,0.56,20,303
deepseek-r1_prompt4_debate53_3,1,human,agent,0.55,20,296
deepseek-r1_prompt4_debate53_4,1,human,agent,0.52,20,320
deepseek-r1_prompt4_debate53_5,1,human,agent,0.55,20,286
deepseek-r1_prompt0_debate54_1,1,human,agent,0.37,14,294
deepseek-r1_prompt0_debate54_2,1,human,agent,0.36,20,288
deepseek-r1_prompt0_debate54_3,1,human,agent,0.42,20,317
deepseek-r1_prompt0_debate54_4,1,human,agent,0.40,20,332
deepseek-r1_prompt0_debate54_5,1,human,agent,0.44,20,308
deepseek-r1_prompt1_debate54_1,1,human,agent,0.41,14,232
deepseek-r1_prompt1_debate54_2,1,human,agent,0.41,20,284
deepseek-r1_prompt1_debate54_3,1,human,agent,0.44,20,303
deepseek-r1_prompt1_debate54_4,1,human,agent,0.42,20,320
deepseek-r1_prompt1_debate54_5,1,human,agent,0.44,20,303
deepseek-r1_prompt2_debate54_1,1,human,agent,0.49,14,165
deepseek-r1_prompt2_debate54_2,1,human,agent,0.51,20,287
deepseek-r1_prompt2_debate54_3,1,human,agent,0.40,20,291
deepseek-r1_prompt2_debate54_4,1,human,agent,0.44,20,308
deepseek-r1_prompt2_debate54_5,1,human,agent,0.40,20,326
deepseek-r1_prompt3_debate54_1,1,human,agent,0.60,14,278
deepseek-r1_prompt3_debate54_2,1,human,agent,0.39,20,325
deepseek-r1_prompt3_debate54_3,1,human,agent,0.45,20,322
deepseek-r1_prompt3_debate54_4,1,human,agent,0.42,20,288
deepseek-r1_prompt3_debate54_5,1,human,agent,0.41,20,313
deepseek-r1_prompt4_debate54_1,1,human,agent,0.50,14,128
deepseek-r1_prompt4_debate54_2,1,human,agent,0.50,20,296
deepseek-r1_prompt4_debate54_3,1,human,agent,0.53,20,311
deepseek-r1_prompt4_debate54_4,1,human,agent,0.49,20,274
deepseek-r1_prompt4_debate54_5,1,human,agent,0.51,20,271
deepseek-r1_prompt0_debate55_1,1,human,agent,0.43,12,307
